,route,speed,carsnum
184,瑞祥东街,5.899324837546668,10
188,祥鹤一街,7.729432286281249,8
179,滨江路,8.565548148755468,184
107,府河路1段-95号,8.578945411875003,12
103,府河路1段-217号,9.074234226181249,16
97,广都中街203号,9.819873121689998,10
151,正北中街31号,9.86144936446,10
114,政府街41,10.134619484158334,12
19,丁字街28号,10.911645733666667,12
37,利民一街92,11.396926660590001,10
32,二江路2段-121号,12.021763188589999,10
55,华阳大道4段-200,12.3045779113375,8
125,正东上街153号,12.664759534400002,26
133,正东下街120号,12.864473686918183,22
91,广宁路,12.875336102603649,48
57,华阳大道4段-311号,12.941358192393752,32
150,正北中街2号,13.193524745755557,18
93,广都上街193,13.207484288207144,14
126,正东上街166号,13.479154226084615,13
162,正西街60号,13.7449156834375,24
131,正东上街57号,13.836367142530767,39
152,正北中街37号,13.846914158549998,14
118,新程大道,13.859241718930342,68
61,协和上街275,13.966386651499999,10
28,中兴上街239号,14.157120809684617,13
202,藕塘街117,14.25599648999,10
176,海昌路,14.28847373390142,85
49,华阳大道2段-218号,14.325078711472223,18
153,正北中街68号,14.51450313655,12
48,华新中街97号,14.6620893112,12
132,正东上街66号,14.71980941892069,29
112,张家巷5号,14.831245248335291,51
101,府河路1段,14.838194818561904,21
89,广东街153,15.080161510089999,10
100,广都中街239号,15.313449443786363,44
158,正西街2号,15.446028498583328,60
60,协和上街14号,15.541170901050002,8
170,水津街110,15.580799107663637,11
104,府河路1段-54-、56号,15.767084373639472,38
207,通济桥下街198,15.850248403536046,86
102,府河路1段-211号,16.033368595841377,29
159,正西街39号,16.09409400104286,21
127,正东上街170号,16.176812299725,8
196,美岸路一段,16.5066079003643,30
177,海洋路,16.59850909491301,62
99,广都中街237号,16.67362148752778,54
90,广东街192,16.82726914375,10
95,广都上街195号,16.929065932040622,32
69,南湖路,16.96176712094238,35
197,美岸路三段,16.962609650232853,35
54,华阳大道4段-153号,17.060333228702856,35
14,G213(益州大道南二段),17.13277350052634,52
81,天明塘街,17.15807510796923,13
53,华阳大道3段-191号,17.168137910433334,12
109,府河路3段,17.322978919668145,44
50,华阳大道2段-230,17.328711167626,50
105,府河路1段-73-、71号,17.430074487534064,91
110,府河路一段,17.763361697434817,36
34,云龙东街,17.974594710405004,20
130,正东上街3,18.002787346886837,38
161,正西街49号,18.440316512308332,12
68,南湖西路,18.62332993204839,88
165,正西街68号,18.632559038813334,15
124,梓林巷,18.641435272438635,11
106,府河路1段-89-、88-、85-、83号,18.850717705750405,124
52,华阳大道3段-159号,19.06603708511429,14
96,广都上街49号,19.07989215343125,8
92,广都上街192号,19.14261232681633,49
86,富民路3段-101,19.212805030895456,11
24,东寺北二路,19.578458013555217,23
63,南延线,19.680848058166667,9
224,龙灯山路,19.681388767301748,57
38,利民三街88,19.716109497025,12
215,雅和南二路,19.736804239996,25
204,通济桥下街,19.816501086777503,8
51,华阳大道3段,19.830257668306665,15
20,丁字街67,20.23697842275,9
164,正西街65号,20.335886187444004,25
205,通济桥下街108,20.418685830217647,34
144,正东中街69号,20.522400274874073,27
211,锦江路2段,20.97865671091624,142
88,广东街,20.99474863708901,13
163,正西街61号,21.00959055189445,18
187,睦邻路,21.307473472236904,21
160,正西街42号,21.372436794592854,14
82,天研路,21.453324220747035,62
64,南湖东路,21.64691738953467,75
146,正东中街99号,21.83089702445,14
185,瑞祥路,21.89177629720974,102
128,正东上街181号,22.086485908572545,51
70,南湖路102,22.09139788311111,9
5,G108(麓山大道二段),22.140646821229485,90
206,通济桥下街161,22.334001864792306,26
129,正东上街192号,22.41609747982778,36
136,正东下街240号,22.520252137758334,12
29,中彭路,22.83936006386375,8
139,正东中街128号,22.91000221625556,9
98,广都中街235号,22.91390849060132,38
145,正东中街80号,22.915585621292855,28
171,水韵路,22.98527647449323,8
214,雅和南一路,23.00151500585624,36
39,剑南大道南一段,23.14199936290258,383
135,正东下街1号,23.476943502869997,20
43,剑和路一段,23.59262666962917,12
94,广都上街193号,23.637286724935002,20
25,东寺街,23.70212249660833,22
143,正东中街65号,23.95203422707749,40
33,二江路二段,24.18101651852536,23
67,南湖大道,24.353194481433597,187
80,天府大道南段辅路,24.647004277489607,174
4,G108(麓山大道一段),24.771514760898892,199
166,正西街90号,24.86689830641666,60
111,府河路二段,24.89810983973863,22
115,新码头北街32,25.213039225603854,13
56,华阳大道4段-303号,25.22439915777465,117
198,美岸路二段,25.38216094967837,33
217,香沙路,25.6474112322775,8
31,二江路1段-307号,25.75933103609091,11
87,富民路4段,25.89605782326296,18
190,祥鹤四街,25.97646967178682,22
46,华新中街101号,26.284746864668,25
36,凤凰路,26.380663599304164,8
147,正公路,26.504290255214567,109
47,华新中街162,26.85711814287308,26
9,G213(天府大道南段),27.175008040239824,398
137,正东下街91号,27.317337636050002,46
142,正东中街229号,27.325480514254167,24
65,南湖北路,27.39962470462796,79
155,正西街187号,27.40189473626539,26
149,正兴湾大桥,27.537600666643034,189
219,麓山大道一段,27.791342440788917,37
175,沈阳路西段,27.808408630663266,165
62,协泰北街,27.985814698975002,20
27,东林寺北巷,28.04387786568846,13
203,蜀州路,28.057130585597054,10
73,和顺路一段,28.05765940899824,17
113,悦和一街,28.089451017033333,8
116,新码头南街47号,28.140350494616,25
40,剑南大道南一段辅路,28.77740160314841,200
13,G213(益州大道南一段),28.82531361950012,106
12,G213(牧华立交桥),29.174203381038236,34
30,二江路1段,29.295991868475003,16
85,定安路,29.296750566226926,13
220,黄龙大道,29.429401303045115,61
22,万顺路一段,29.550472283454404,43
18,Y008,29.830880872730766,25
199,老成仁路,29.88624661448406,69
138,正东中街109号,30.08256331057408,27
172,汉州路,30.145549663285188,9
35,公黄路,30.513972520030894,11
7,G213(两江路),30.564441753911993,106
222,黄龙大道2段,30.626980756881252,16
173,江畔路,30.65210931653638,84
83,宁波路东段,30.845327055385095,19
8,G213(天府大道南一段),30.887023966914864,100
6,G108辅路,30.88914671461667,12
141,正东中街223号,30.99268336796,25
108,府河路2段,31.120387680328573,14
201,藕塘新街8,31.341718272396292,9
216,顺兴路,31.397236070410344,29
169,武汉路西段辅路,31.427926145225076,250
212,锦江路3段,31.509852729547696,65
154,正西街175号,31.654619740631816,22
218,麓山大道1段,32.113223539046146,275
21,万东路,32.227061015335416,8
66,南湖南路,32.31120121262899,69
117,新码头街2,32.54697339175,23
1,G108(牧华路三段),32.987068660999675,529
123,梓州大道辅路,33.380858761096505,163
156,正西街225号,33.7160437642,19
140,正东中街134号,34.19039652674667,15
15,G213(老成仁路),34.310548059531655,60
194,绿野路三段,34.55082431868901,58
180,潘家湾路,35.60034563316962,13
58,华阳绕城路,36.33085804729429,70
191,空港四路,36.55739888050358,14
120,梓州大道,36.567084399372504,124
74,回龙寺路,36.6385001140611,9
168,武汉路西段,37.25439471661454,183
134,正东下街149号,37.74109609285454,22
174,沈阳路东段,37.97597308810748,33
157,正西街292号,38.430017422060004,25
122,梓州大道南一段辅路,38.5106490775946,44
17,X062辅路,38.695783959548486,11
44,华府大道3段,39.19054435556413,46
208,通济桥街10,39.50795365547647,17
79,天府大道南段,39.90814523104173,119
192,红星路南延线,40.00203626063098,117
84,宁波路东段辅路,40.152327507336665,15
193,绿野路一段,40.28081229164,15
209,钟灵路,40.74768904177812,16
183,物联大道,40.886111135591,10
0,,41.20223673269365,166
26,东山大道一段,41.40088182596,16
119,杭州路西段,42.106797070685765,9
2,G108(牧华路二段),42.90938990176151,64
181,牧华路三段辅路,43.208961019233676,272
195,绿野路二段,45.097865517912375,16
23,万顺路二段,45.408452873525,8
72,双黄路,45.43523295785708,20
78,天府大道南二段辅路,45.59498123608848,29
41,剑南大道南段,45.67076249691347,389
167,武汉路东段辅路,45.706323771655384,17
186,益州大道南一段,45.95621636439167,155
10,G213(成仁路),46.56991308770366,88
121,梓州大道南一段,46.94968230942753,83
16,X062(剑南大道南段),47.392921819346924,27
42,剑南大道南段辅路,47.87162955534217,274
76,天府大道南一段辅路,48.24399572346171,86
148,正公路辅路,48.48258431882361,35
11,G213(沈阳路西段),48.52745125446334,75
213,长顺大道一段,49.722173993647694,147
71,双兴大道,50.39869183242783,23
189,祥鹤二街,50.70621957088735,158
75,天府大道南一段,50.80247090732015,87
200,蓉府一路,50.8180420068,8
178,温家山路,51.95243962799084,10
3,G108(生物城中路一段),52.021077815562705,8
210,锦江西43路,52.68989375236689,145
45,华府大道四段,53.71940986270615,34
77,天府大道南二段,54.127418173110414,32
182,物联二路,60.30248184411364,11
223,黄龙大道一段,62.86589433839855,23
221,黄龙大道1段,63.14897134875713,21
59,协中路,66.44655325114873,119
