,route,speed
20,海昌路,21.20899534358
10,南湖西路,22.638184593908335
19,正西街65号,26.806688529666662
6,华阳大道2段-230,28.077944219509998
13,府河路1段-89-、88-、85-、83号,28.103031111305555
23,通济桥下街198,28.756886170795454
18,正西街2号,29.770176074203125
24,锦江路2段,31.642326682021434
7,华阳大道4段-303号,31.734704558972723
8,南湖北路,32.479910939505004
17,正东上街66号,32.54079473121667
25,锦江路3段,32.73618868662631
12,广都中街235号,32.9515549738125
9,南湖大道,33.82931175930889
1,G108(麓山大道一段),34.63475684717601
14,新程大道,34.92658699643192
27,龙灯山路,36.99230052702222
3,G213(天府大道南段),37.50082619504102
16,梓州大道辅路,38.535001125167376
2,G108(麓山大道二段),38.83336598380417
21,牧华路三段辅路,40.77232255833333
11,天府大道南段辅路,47.0380434163659
5,剑南大道南段辅路,49.10135772400962
0,G108(牧华路三段),49.36419271407399
15,梓州大道,50.25831909864999
26,麓山大道1段,50.85289122928814
22,红星路南延线,52.20505288142363
4,剑南大道南段,64.46967623446484
