,route,speed
170,四川省成都市双流区美岸路一段,11.527786400533335
118,四川省成都市双流区正东上街57号,11.822415225386363
83,四川省成都市双流区广都上街193,11.950235231829998
143,四川省成都市双流区正西街60号,12.393929054168751
119,四川省成都市双流区正东上街66号,12.485938963577421
44,四川省成都市双流区华阳大道2段-218号,12.715078949996002
72,四川省成都市双流区天明塘街,12.922232716911111
114,四川省成都市双流区正东上街170号,13.257944718774999
96,四川省成都市双流区府河路1段-95号,14.189677911779999
117,四川省成都市双流区正东上街3,14.335551372789999
163,四川省成都市双流区祥鹤一街,14.377043328468751
156,四川省成都市双流区海洋路,14.613513113652703
120,四川省成都市双流区正东下街120号,15.075203104763157
29,四川省成都市双流区二江路2段-121号,15.194241411175
81,四川省成都市双流区广宁路,15.209902417197396
151,四川省成都市双流区水津街110,15.251358081258331
46,四川省成都市双流区华阳大道3段,15.448821833532
101,四川省成都市双流区张家巷5号,15.483200482828572
93,四川省成都市双流区府河路1段-54-、56号,15.507777623262502
113,四川省成都市双流区正东上街166号,15.63065421762222
136,四川省成都市双流区正北中街2号,15.675863989100003
142,四川省成都市双流区正西街39号,15.740575976
141,四川省成都市双流区正西街2号,15.746561652702773
26,四川省成都市双流区中兴上街239号,16.04173003356
144,四川省成都市双流区正西街61号,16.084022830533332
43,四川省成都市双流区华新中街97号,16.10695259237
171,四川省成都市双流区美岸路三段,16.1176511897
89,四川省成都市双流区广都中街239号,16.329579593059528
132,四川省成都市双流区正东中街99号,16.622662806007693
179,四川省成都市双流区通济桥下街198,16.715811271583814
177,四川省成都市双流区通济桥下街108,16.84118835744231
187,四川省成都市双流区雅和南二路,16.979483860004766
63,四川省成都市双流区南湖路102,17.594234217569998
49,四川省成都市双流区华阳大道4段-153号,17.870577212982145
62,四川省成都市双流区南湖路,17.908136068424827
94,四川省成都市双流区府河路1段-73-、71号,17.966796917251564
131,四川省成都市双流区正东中街80号,18.409013232462502
14,四川省成都市双流区G213(益州大道南二段),18.539206358940305
155,四川省成都市双流区海昌路,18.837256424550812
186,四川省成都市双流区雅和南一路,19.483984306441442
107,四川省成都市双流区新程大道,19.558191078831168
19,四川省成都市双流区丁字街67,19.625902068499997
178,四川省成都市双流区通济桥下街161,19.632538503648274
32,四川省成都市双流区利民一街92,19.6504211967375
160,四川省成都市双流区瑞祥西街,19.7558294177
55,四川省成都市双流区协和上街275,19.99445462383125
80,四川省成都市双流区广东街192,20.254602302724997
115,四川省成都市双流区正东上街181号,20.422896196287503
146,四川省成都市双流区正西街68号,20.49584542864
45,四川省成都市双流区华阳大道2段-230,20.552282351135418
54,四川省成都市双流区协和上街127,20.57793293305
